,confidence_power,imputed pseudocluster,conf_bool,conf_scores
5_17_380460,0.877,0.2411475997641998,True,0.06597036416853952
5_17_380518,0.79,0.4041617332546508,True,0.042964035535407175
5_17_380548,0.651,0.2278641432534469,True,0.022033686158075882
5_17_380660,0.833,0.4273320938465712,True,0.0544222856077089
5_17_380687,0.8,0.4902949823983006,True,0.0457061112991598
5_17_380704,0.725,0.2638402045699224,True,0.03196268521744072
5_17_380789,0.745,0.4127538550379926,True,0.03580968715673649
5_17_380809,0.926,0.3348647889268162,True,0.08000879461292654
5_17_380872,0.709,0.2550200298246908,True,0.029929393679504646
5_17_380877,0.71,0.5273429506318671,True,0.030099236071048585
5_17_380894,0.693,0.25885332192326493,True,0.027688603747942353
5_17_380934,0.874,0.43696246087477814,True,0.0643983220298242
5_17_380942,0.823,0.5919934161237038,True,0.051902757885498696
5_17_380950,0.812,0.4363358681359272,True,0.050942405932610235
5_17_380978,0.77,0.26188473192784956,True,0.03931430412546366
5_17_380979,0.579,0.23626884810530052,True,0.010843095724675345
5_17_380986,0.237,0.35362373792793383,False,-0.04043851446949143
5_17_380998,0.903,0.4068960061543285,True,0.07384518524228756
5_17_381019,0.979,0.36460132561419933,True,0.11927161787984819
5_17_381027,0.91,0.4358460632573764,True,0.076086056917403
5_17_381064,0.957,0.48791984238511077,True,0.10102426610295911
5_17_381078,0.196,0.5058616761038799,False,-0.047915083425580596
5_17_381087,0.935,0.44240829585920005,True,0.08333868875421968
5_17_381090,0.586,0.29754427494900815,True,0.011600141381228668
5_17_381241,0.995,0.2613611481956001,True,0.15278897797959734
5_17_400820,0.811,0.21132200084741995,True,0.050300629938969554
5_17_400934,0.777,0.3979878714188159,True,0.04096832813933304
5_17_400943,0.121,0.5667497330095665,False,-0.06346024304692532
5_17_401081,0.993,0.6585678799941047,True,0.14452548563149636
5_17_401108,0.582,0.48764591859968903,True,0.011191586120662844
5_17_401118,0.629,0.27863142492026116,True,0.017755970640755292
5_17_401197,0.913,0.3583863463184727,True,0.07642252437676011
5_17_401263,0.957,0.19210744993160608,True,0.1009837742095403
5_17_401330,0.744,0.3058856170552317,True,0.0354917109511651
5_17_401375,0.16,0.57315328656853,False,-0.0554606529309678
5_17_401377,0.971,0.41056345986003007,True,0.1123236495611365
5_17_401398,0.042,0.4534047544372379,False,-0.10399548017936766
5_17_401446,0.241,0.4407879046188413,False,-0.03939614815983217
5_17_401472,0.903,0.38273111089805234,True,0.07404183506727346
5_17_401487,0.54,0.2377479937264251,True,0.00521974261602709
5_17_401493,0.748,0.2392313898936396,True,0.0367141165688335
5_17_401494,0.791,0.22697941111231565,True,0.04346266707028479
5_17_401500,0.888,0.492865567385143,True,0.06875379971496498
5_17_401552,0.635,0.199888695830553,True,0.01861995784691295
5_17_401553,0.604,0.39512254501567895,True,0.014080374716834987
5_17_401591,0.795,0.26167369401302265,True,0.04429653373955378
5_17_401594,0.945,0.2379092825777847,True,0.09189870966165714
5_17_401618,0.913,0.39150610079428827,True,0.07650465722788868
5_17_401654,0.457,0.3104647190422162,False,-0.005521421153082073
5_17_401761,0.756,0.4044097194868552,True,0.03754888008117219
5_17_481569,0.088,0.35995380104207086,False,-0.07517186157131217
5_17_490272,0.948,0.30467530546953414,True,0.09366667647491589
5_17_490299,0.907,0.25834124079110576,True,0.07475129007882375
5_17_490364,0.439,0.2578385467834324,False,-0.008718157457927367
5_17_490392,0.847,0.29172362961890164,True,0.05854639110194615
5_17_490496,0.83,0.34072529046109634,True,0.05385694928661411
5_17_510987,0.936,0.3088427614773617,True,0.08387630672584445
5_17_511048,0.919,0.4043734153066808,True,0.07819179162737722
5_17_511076,0.898,0.4122493730563466,True,0.07226115779535269
5_17_511098,0.457,0.4026324822862104,False,-0.005500081145572766
5_17_511165,0.77,0.22169680195564975,True,0.039645353920685134
5_17_511186,0.875,0.39453139875400917,True,0.06519416566398184
5_17_511242,0.375,0.3063267012044277,False,-0.017433501392107642
5_17_511277,0.775,0.44221117433149265,True,0.040397444294158036
5_17_511290,0.288,0.25629748326022156,False,-0.0313157259769834
5_17_511316,0.685,0.22795305587572656,True,0.026577844529015238
5_17_590858,0.396,0.16099471747090932,False,-0.014726779069083706
5_17_590874,0.126,0.16825801069104165,False,-0.06211727185404259
5_17_591710,0.987,0.2598319092247559,True,0.13269365281954082
5_17_591740,0.794,0.17756198782957347,True,0.043869657402524465
5_17_591776,0.102,0.2181642300310438,False,-0.07064856763724814
5_17_621071,0.066,0.242191488216373,False,-0.08409954899128169
5_17_621270,0.641,0.7493599259957672,True,0.01938538073946805
5_17_621280,0.959,0.2768854238909455,True,0.101986269793225
5_17_621298,0.987,0.2676098912952322,True,0.1297353539516003
5_17_621302,0.937,0.2131890810520274,True,0.08503073433677533
5_17_621322,0.968,0.21096724839652836,True,0.10749164715941151
5_17_621680,0.79,0.22047426020373004,True,0.04232796063142985
5_17_621740,0.262,0.1942851152282452,False,-0.03612343298585152
5_17_630792,0.996,0.14833921261118133,True,0.16611253321276997
5_17_630810,0.96,0.3619493092028491,True,0.10283592048226886
5_17_740666,0.445,0.3745718203477128,False,-0.007550374020862227
5_18_1150822,0.929,0.26155449023948363,True,0.08080531830808102
5_18_1150851,0.843,0.22999794562775802,True,0.057633659911746515
5_18_1150881,0.582,0.3581775392944026,True,0.011255370938172748
5_18_1150937,0.977,0.24869474556222035,True,0.11773364837816103
5_18_1150942,0.611,0.46402279504802846,True,0.015019130812467418
5_18_1150975,0.881,0.4254879347203759,True,0.06730737326820269
5_18_1150982,0.632,0.30029599238769783,True,0.01834746804760956
5_18_1150984,0.983,0.45329232158559696,True,0.12612280747728244
5_18_1150986,0.729,0.40728967927920895,True,0.03255140273440049
5_18_1151016,0.651,0.23636531466463678,True,0.0219218336629049
5_18_1151044,0.936,0.4276559718257457,True,0.08446703046026072
5_18_1151063,0.831,0.3725536916082882,True,0.053931777087304456
5_18_1151102,0.61,0.6034878366804222,True,0.014955368348987252
5_18_1151167,0.547,0.2769202591800335,True,0.006229345369376693
5_18_1170961,0.872,0.3895264147167407,True,0.06348010716550145
5_18_1171019,0.933,0.4362523612965013,True,0.0823094603570993
5_18_1171075,0.932,0.4183094158236013,True,0.08207905957633932
5_18_1171078,0.412,0.4691994183835588,False,-0.012888363705638506
5_18_1240575,0.003,0.5970012418241274,False,-0.15493589559877408
5_18_1260384,0.931,0.40176194721744213,True,0.08115685581054777
5_18_1260496,0.611,0.45703588303090065,True,0.015126469647752772
5_18_1260583,0.871,0.22618939912126762,True,0.06335257447712461
5_18_1260700,0.694,0.6921832078909539,True,0.027792199861835787
5_18_1260767,0.641,0.3560287721340426,True,0.019507189436395733
5_18_1260780,0.932,0.38107974770431163,True,0.08208686658970488
5_18_1260783,0.782,0.32389784890500173,True,0.041762976055719214
5_18_1260790,0.639,0.3501585248002435,True,0.01907766538716782
5_18_1260793,0.472,0.5903335977896158,False,-0.003420657621664658
5_18_1260808,0.612,0.3885658416154226,True,0.01560468249224889
